copyright	zengfr	site:http://github.com/zengfr/romhack
FF82F4	base+2F4	[00146E, 001474, 001540, 001546, 01A826]	
FF82F6	base+2F6	[0014A6, 0014AC, 00156C, 001572, 0083A2, 0083A8, 01A842]	
FF82F8	base+2F8	[00148A, 001490, 001556, 00155C, 01A85E]	
FF82FA	base+2FA	[0013D6, 0013E6, 0014DC, 01A77A]	
FF82FC	base+2FC	[0013B8, 0013CA, 0014C6, 01A796]	
FF82FE	base+2FE	[0013F2, 001402, 0014F2, 01A7B2]	
FF8300	base+300	[00140E, 00141E, 001508, 01A7CE]	
FF8302	base+302	[00144C, 00145C, 001534, 01A7EA]	
FF8304	base+304	[00142A, 00143A, 00151E, 01A806]	
FF8306	base+306	[001468, 001478, 00154A, 01A822]	
FF8308	base+308	[0014A0, 0014B0, 001576, 00839C, 0083AC, 01A83E]	
FF830A	base+30A	[001484, 001494, 001560, 01A85A]	
FF830C	base+30C	[0015BA, 0015F6, 018B2E, 01A64A, 022B98, 05DFC0, 05DFFC]	
FF830E	base+30E	[001606, 018B32, 01A662, 05DFA0, 05DFBA]	
FF8310	base+310	[0015E2, 001622, 018B36, 01A656, 05E002, 05E07E, 05E17A]	
FF8312	base+312	[0015A4, 0015B6, 0015E8, 0015F2, 018B22, 01A646, 022B8A, 022B94, 05DFCA]	
FF8314	base+314	[0015FC, 001602, 018B1A, 01A65E, 05DFAA]	
FF8316	base+316	[0015D8, 0015DE, 001618, 00161E, 018B2A, 01A652, 05E00C, 05E170, 05E176]	
FF8318	base+318	[001632, 008804, 008C04, 008FFE, 009282, 00956C, 0096F6, 0098CE, 009AA6, 009F60, 01A66E, 022C4C]	
FF831A	base+31A	[001642, 008506, 008796, 008C52, 0092CA, 009AE8, 01A67A, 021578]	
FF831C	base+31C	[001652, 0084BC, 0087D4, 009236, 0098A6, 009A80, 01A686, 04C5CA]	
FF831E	base+31E	[001662, 01A692, 01E9E2, 021CE8]	
FF8320	base+320	[001672, 01A69E, 01EA30, 021CF4]	
FF8322	base+322	[001682, 008832, 008CAC, 00902A, 00917A, 0092B0, 009724, 0098F0, 009ACE, 009CE2, 04E510]	
FF8324	base+324	[001628, 00162E, 01A66A, 022C48]	
FF8326	base+326	[001638, 00163E, 01A676, 021574]	
FF8328	base+328	[001648, 00164E, 01A682, 04C5C6]	
FF832A	base+32A	[001658, 00165E, 01A68E, 021CE4]	
FF832C	base+32C	[001668, 00166E, 01A69A, 021CF0]	
FF832E	base+32E	[001678, 00167E, 04E50C]	
FF8370	base+370	[00162A, 008C0E, 00928C, 009576, 0098D8, 009AB0]	
FF8372	base+372	[00162A, 008C0E, 009008, 00928C, 009576, 009700, 0098D8, 009AB0, 009F6C]	
FF8374	base+374	[00162A, 008C0E, 009008, 00928C, 009576, 009700, 0098D8, 009AB0, 009F6C]	
FF8376	base+376	[00162A, 008C0E, 009008, 00928C, 009576, 009700, 0098D8, 009AB0, 009F6C]	
FF8378	base+378	[00162A, 00880E, 008C0E, 009008, 00928C, 009576, 009700, 0098D8, 009AB0, 009F6C]	
FF837A	base+37A	[00162A, 00880E, 008C0E, 009008, 00928C, 009576, 009700, 0098D8, 009AB0, 009F6C]	
FF837C	base+37C	[00162A, 00880E, 008C0E, 009008, 00928C, 009576, 009700, 0098D8, 009AB0, 009F6C]	
FF837E	base+37E	[00162A, 00880E, 008C0E, 009008, 00928C, 009576, 009700, 0098D8, 009AB0, 009F6C]	
FF841A	base+41A	[00163A, 0087A0, 0092D4, 009AF2]	
FF841C	base+41C	[00163A, 0087A0, 0092D4, 009AF2]	
