copyright	zengfr	site:http://github.com/zengfr/romhack
FF905C	enemy+74	[00330E, 003334, 0039F6, 009ACA]	
FF905E	enemy+76	[0032C8, 0039F6, 009ACA]	
FF9060	enemy+78	[0032DE, 0032EA, 0039F6, 009ACA]	
FF9062	enemy+7A	[0032DE, 0032EA, 0039F6, 009ACA]	
FF9064	enemy+7C	[003320, 003346, 0039F6, 009ACA]	
FF9066	enemy+7E	[0032F6, 0039F6, 009ACA]	
FF9068	enemy+80	[009ACA, 0270E6, 0353B8, 0353BC, 036AF2, 036AF6]	
FF9069	enemy+81	[021D02, 028120, 02A2F6]	
FF906A	enemy+82	[009ACA, 038AF0, 03A4B4, 03A7A4]	
FF906C	enemy+84	[009ACA, 0353C2, 036AFC, 039082, 0390C6, 039676, 03A802, 03A8A4]	
FF906E	enemy+86	[009ACA, 03908C, 0390D0, 03967E, 03A7B8]	
FF9070	enemy+88	[009ACA, 021D06, 027BD0, 027BE6, 028124, 02A2FA, 03A7A8]	
FF9071	enemy+89	[021D0A, 022DC0, 022DDC, 028BD8, 028C18, 02A2FE, 02B0C2, 02B0E6, 03A7AC, 03A7C6, 03A7D6]	
FF9072	enemy+8A	[009ACA, 021D0E, 022C46, 022C8E, 027BD4, 027BEA, 028128, 02A302, 02AFB2, 02AFFA, 035392, 036AD8, 03907C, 03A86C, 03A894]	
FF9074	enemy+8C	[009ACA, 021D0E, 022C46, 022C8E, 027BD4, 027BEA, 028128, 02A302, 02AFB2, 02AFFA, 0389A0, 03A8B4, 03A8C4]	
FF9075	enemy+8D	[038E9E, 038ED0]	
