copyright	zengfr	site:http://github.com/zengfr/romhack
FF900E	enemy+26	[0, 308A, 3AAC, 4064, 4214, 429C, 4352, 4596, 4B0C, 4BA4, 4F9A, 5036, 5288, 52F0, 5534, 7C94, 81C2, 8412, 85D8, 9188, 9478, 9514, 95A8, 9630, AFB4, AFD8, B31E, B3D0, B798, B82C, B846, B9F8, BA66, BAE6, BCA6, BD1E]	
FF9010	enemy+28	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 1800, 2, 3, 300, 4, 400, 5, 540, 6, 7, 8, 800, 9, A, A00, A01, A02, A03, A04, A05, B, C, D, E, F, F00]	
FF9012	enemy+2A	[0, 1000, 1100, 1200, 1300, 1387, 1A00, 1A06, 1B00, 1C00, 1D00, 1F00, 2500, 2800, 2900, 2A00, 2B00, 300, 4500, 600, 605, 6300, 700, 800, 900, A00, B00, C00, D00, E00, E01, E02, F00, F03, F04]	
FF9014	enemy+2C	[0, 100, 101, 1400, 1500, 200, 202, 300, 301, 303, 304, 400, 500, 700, 900, A00, B00, C00, D00, E05]	
FF9016	enemy+2E	[0, 1]	
FF9017	enemy+2F	[0]	
FF9018	enemy+30	[0, 1, 18, 2, 24, 26, 4, 8, 9, B, D, FFDD, FFE5, FFEA, FFEB, FFF0, FFF4, FFF5, FFF7, FFF8, FFF9, FFFA, FFFB, FFFC, FFFD, FFFE]	
FF901A	enemy+32	[0, D]	
FF901C	enemy+34	[0, 23B4, 28B4, 2B34]	
FF901E	enemy+36	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 4, 7, 8, 9, A, B, C, D, E, F]	
FF901F	enemy+37	[0, 4, 7, 8]	
FF9020	enemy+38	[0, 2, 3]	
FF9022	enemy+3A	[0, 3E38, 4DD6, 5D7C, 8774, 9880, BE54, BFEA]	
FF9024	enemy+3C	[0, 8568]	
FF9026	enemy+3E	[0, 1]	
FF9027	enemy+3F	[0, 1, 3, 7, 83, E]	
FF9028	enemy+40	[0, FF]	
FF902A	enemy+42	[0, 2]	
FF902B	enemy+43	[0, 1, 2, 3, 4]	
FF902C	enemy+44	[0, 8568]	
FF902E	enemy+46	[0, 6]	
FF9030	enemy+48	[0, 57B6, 57F2]	
FF9032	enemy+4A	[0, 1]	
FF9034	enemy+4C	[0, 90A8, 9228]	
FF9036	enemy+4E	[0, CE3C]	
