copyright	zengfr	site:http://github.com/zengfr/romhack
FF80FA	base+ FA	[00042C, 00063E, 00064E, 000660, 000666, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80FC	base+ FC	[00042C, 00066C, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80FE	base+ FE	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80FF	base+ FF	[000678]	
FF8100	base+100	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8101	base+101	[000684]	
FF8102	base+102	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8103	base+103	[000690]	
FF8104	base+104	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8106	base+106	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8108	base+108	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF810A	base+10A	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF810B	base+10B	[0006A6]	
FF810C	base+10C	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF810D	base+10D	[0006B2]	
FF810E	base+10E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF810F	base+10F	[000678]	
FF8110	base+110	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8111	base+111	[000684]	
FF8112	base+112	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8113	base+113	[000690]	
FF8114	base+114	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8116	base+116	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8118	base+118	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF811A	base+11A	[00042C, 00063E, 00064E, 000660, 000666, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF811C	base+11C	[00042C, 00066C, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF811E	base+11E	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF811F	base+11F	[000678]	
